WEST SHORE PLAZA / CHELSEA ST,ST GEORGE FERRY / ST GEORGE FERRY,2880
WEST SHORE PLAZA / CHELSEA ST,YUKON AV / KMART DRWY,2760
WEST SHORE PLAZA / CHELSEA ST,LINCOLN AV / RICHMOND RD,4076
WEST SHORE PLAZA / CHELSEA ST,MARSH AV / RING RD,3000
WEST SHORE PLAZA / CHELSEA ST,4 AV / 86 ST,4440
WEST SHORE PLAZA / CHELSEA ST,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,5640
WEST SHORE PLAZA / CHELSEA ST,LIC,6792
YUKON AV / KMART DWY,ST GEORGE FERRY / ST GEORGE FERRY,2905
YUKON AV / KMART DWY,YUKON AV / KMART DRWY,44
YUKON AV / KMART DWY,LINCOLN AV / RICHMOND RD,1522
YUKON AV / KMART DWY,MARSH AV / RING RD,491
YUKON AV / KMART DWY,4 AV / 86 ST,3511
YUKON AV / KMART DWY,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,2366
YUKON AV / KMART DWY,LIC,6054
ST GEORGE FERRY / S44 & S94,ST GEORGE FERRY / ST GEORGE FERRY,22
ST GEORGE FERRY / S44 & S94,YUKON AV / KMART DRWY,3060
ST GEORGE FERRY / S44 & S94,LINCOLN AV / RICHMOND RD,1783
ST GEORGE FERRY / S44 & S94,MARSH AV / RING RD,2386
ST GEORGE FERRY / S44 & S94,4 AV / 86 ST,2083
ST GEORGE FERRY / S44 & S94,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4404
ST GEORGE FERRY / S44 & S94,LIC,6900
HOLLAND AV / BENJAMIN PL,ST GEORGE FERRY / ST GEORGE FERRY,1730
HOLLAND AV / BENJAMIN PL,YUKON AV / KMART DRWY,2580
HOLLAND AV / BENJAMIN PL,LINCOLN AV / RICHMOND RD,3896
HOLLAND AV / BENJAMIN PL,MARSH AV / RING RD,2820
HOLLAND AV / BENJAMIN PL,4 AV / 86 ST,3660
HOLLAND AV / BENJAMIN PL,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,5460
HOLLAND AV / BENJAMIN PL,LIC,6612
ST GEORGE FERRY / S51 & S81,ST GEORGE FERRY / ST GEORGE FERRY,24
ST GEORGE FERRY / S51 & S81,YUKON AV / KMART DRWY,2611
ST GEORGE FERRY / S51 & S81,LINCOLN AV / RICHMOND RD,1775
ST GEORGE FERRY / S51 & S81,MARSH AV / RING RD,2375
ST GEORGE FERRY / S51 & S81,4 AV / 86 ST,2075
ST GEORGE FERRY / S51 & S81,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4320
ST GEORGE FERRY / S51 & S81,LIC,7048
4 AV / 86 ST,ST GEORGE FERRY / ST GEORGE FERRY,1800
4 AV / 86 ST,YUKON AV / KMART DRWY,3480
4 AV / 86 ST,LINCOLN AV / RICHMOND RD,2019
4 AV / 86 ST,MARSH AV / RING RD,3300
4 AV / 86 ST,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,3840
4 AV / 86 ST,LIC,6372
RICHMOND TER / PARK AV,ST GEORGE FERRY / ST GEORGE FERRY,899
RICHMOND TER / PARK AV,YUKON AV / KMART DRWY,2220
RICHMOND TER / PARK AV,LINCOLN AV / RICHMOND RD,2576
RICHMOND TER / PARK AV,MARSH AV / RING RD,2344
RICHMOND TER / PARK AV,4 AV / 86 ST,2640
RICHMOND TER / PARK AV,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4320
RICHMOND TER / PARK AV,LIC,6792
BRICKTOWN SHOPPING / CENTER,ST GEORGE FERRY / ST GEORGE FERRY,4260
BRICKTOWN SHOPPING / CENTER,YUKON AV / KMART DRWY,2505
BRICKTOWN SHOPPING / CENTER,LINCOLN AV / RICHMOND RD,2576
BRICKTOWN SHOPPING / CENTER,MARSH AV / RING RD,2700
BRICKTOWN SHOPPING / CENTER,4 AV / 86 ST,4740
BRICKTOWN SHOPPING / CENTER,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,111
BRICKTOWN SHOPPING / CENTER,LIC,8532
ST GEORGE FERRY / S78,ST GEORGE FERRY / ST GEORGE FERRY,11
ST GEORGE FERRY / S78,YUKON AV / KMART DRWY,2620
ST GEORGE FERRY / S78,LINCOLN AV / RICHMOND RD,1819
ST GEORGE FERRY / S78,MARSH AV / RING RD,2384
ST GEORGE FERRY / S78,4 AV / 86 ST,2119
ST GEORGE FERRY / S78,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,4440
ST GEORGE FERRY / S78,LIC,7092
LIC,ST GEORGE FERRY / ST GEORGE FERRY,6193
LIC,YUKON AV / KMART DRWY,5653
LIC,LINCOLN AV / RICHMOND RD,5833
LIC,MARSH AV / RING RD,5857
LIC,4 AV / 86 ST,5552
LIC,BRICKTOWN SHOPPING CEN / BRICKTOWN SHOPPING CEN,7993
